ID,AutoIds,Type,Name,Address,google-name,GScore,GRevCount,JScore,Tier,Must-Visit,Day,Note,Lat,Lon,LiveCensusLat,LiveCensusLon,store-pk,google-url
PBB,PBB1,Furniture,Perry Bargain Barn,"4650 N Ridge Rd, Perry, OH 44081",Perry Bargain Barn,4.4,86,2.6,Mid,,,Just someone's barn. Mostly furniture,41.787501661345,-81.123108374508,-Have Lat-,-Have Lon-,64,https://maps.app.goo.gl/GxBarvHRRNgkmdmw6
TATL,TATL1,Antique,Treasures at the Langshaw,"4179 Main St, Perry, OH 44081",Treasures at the Langshaw,4.9,10,3.0,Mid,,,Not vibing with the interior photos,41.758384928317,-81.138204851177,-Have Lat-,-Have Lon-,65,https://maps.app.goo.gl/UyujCwAwYFL9w5WH9
MCVC,MCVC1,Sports,My Cuzin Vintage Cleveland,"6507 Detroit Ave, Cleveland, OH 44102",My Cuzin Vintage Cleveland,4.0,71,0.0,Mid,,,Sports collectibles : Hard Pass,41.483972699532,-81.730361207570,-Have Lat-,-Have Lon-,66,https://maps.app.goo.gl/VRz99jSbpNjYvgKH9
SL,SL1,Antique,Sweet Lorain,"7105 Lorain Ave, Cleveland, OH 44102",Sweet Lorain,3.7,208,4.9,Top,must-visit,,"Yeah, great interior, wanna go",41.473321308529,-81.733915357678,-Have Lat-,-Have Lon-,67,https://maps.app.goo.gl/tZMMMUwdojZAb2DB6
NTVS,NTVS1,Thrift,Nifty Thrifty Variety Shop,"7100 Broadway Ave Suite 200, Cleveland, OH 44105",Nifty Thrifty Variety Shop,5.0,15,1.0,Low,,,Yeah sparse low end thrift,41.458078091966,-81.638684296080,-Have Lat-,-Have Lon-,68,https://maps.app.goo.gl/tQu8ptD8B1btJ7L36
CC,CC1,Boutique,Cleveland Curiosities,"13375, 13373 Madison Ave, Lakewood, OH 44107",Cleveland Curiosities,4.7,464,1.2,Top,,,"Full of weird stuff, but reads boutique",41.476968028201,-81.784520982721,-Have Lat-,-Have Lon-,69,https://maps.app.goo.gl/CCp4nWNeLAkdsqmz9
FNFVC,FNFVC1,Vintage,Future No Future Vintage Clothing,"16008 Detroit Ave, Lakewood, OH 44107",Future No Future Vintage Clothing,4.7,33,0.0,Mid,,,Temp closed?,41.485247891778,-81.809291970509,-Have Lat-,-Have Lon-,70,https://maps.app.goo.gl/ZH4LXM54gzjUNpFY9
MF,MF1,Boutique,Magically Found,"13349 Madison Ave, Lakewood, OH 44107",Magically Found,5.0,17,1.0,Top,,,"Boutique, not for me.",41.476965114804,-81.783590154097,-Have Lat-,-Have Lon-,71,https://maps.app.goo.gl/xQMSiAy3GZKoonB88
MC,MC1,Vintage,Margie’s Closet,"1384 W 117th St, Lakewood, OH 44107",Margie’s Closet,4.6,45,2.0,Top,,,Seems specialized; Unclear it's worthwhile,41.483981516909,-81.768823435555,-Have Lat-,-Have Lon-,72,https://maps.app.goo.gl/Y3U5bhiJ1jxhkqgr9
VWT-Lakewood,VWT1,Thrift,Value World Thrift,"11900 Detroit Ave, Lakewood, OH 44107",Value World Thrift,4.2,813,4.5,Top,,,Classic Chain - Get in there.,41.483958040635,-81.771809570569,-Have Lat-,-Have Lon-,73,https://maps.app.goo.gl/YJhCyAcMDvnatDV17
