Zip,Name,MedianIncome,PctHH_100kPlus,PctRenters,Population,AcsYear,Dataset,FetchedAtUtc,Status,ErrorMessage,RentersCount,OccupiedCount,HHCount_100kPlus,HHCountTotal
15536,ZCTA5 15536,53750,36.364,18.750,354,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,33,176,64,176
15537,ZCTA5 15537,58300,40.237,26.112,8272,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,904,3462,1393,3462
15538,ZCTA5 15538,61667,41.333,16.000,751,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,48,300,124,300
15539,ZCTA5 15539,,6.040,11.409,303,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,17,149,9,149
15540,ZCTA5 15540,69009,36.478,11.950,367,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,19,159,58,159
15541,ZCTA5 15541,61750,44.018,10.046,2998,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,131,1304,574,1304
15542,ZCTA5 15542,51827,32.294,8.686,1096,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,39,449,145,449
15544,ZCTA5 15544,86940,89.630,11.852,382,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,16,135,121,135
15545,ZCTA5 15545,54015,36.029,20.221,2673,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,220,1088,392,1088
15546,ZCTA5 15546,,32.836,1.493,618,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,3,201,66,201
15547,ZCTA5 15547,61538,36.864,18.220,875,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,43,236,87,236
15550,ZCTA5 15550,53438,39.250,23.088,1677,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,160,693,272,693
15551,ZCTA5 15551,71500,42.672,16.379,601,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,38,232,99,232
15552,ZCTA5 15552,65821,44.589,20.683,5551,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,430,2079,927,2079
15554,ZCTA5 15554,62602,44.732,17.241,2298,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,180,1044,467,1044
15555,ZCTA5 15555,73750,46.154,0.000,78,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,39,18,39
15557,ZCTA5 15557,59833,42.263,17.518,3430,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,240,1370,579,1370
15558,ZCTA5 15558,69375,45.778,25.185,2021,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,170,675,309,675
15559,ZCTA5 15559,68299,46.763,25.180,2407,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,245,973,455,973
15560,ZCTA5 15560,38750,36.364,7.273,140,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,4,55,20,55
15561,ZCTA5 15561,56500,43.103,17.241,179,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,10,58,25,58
15562,ZCTA5 15562,81719,56.627,20.482,355,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,17,83,47,83
15563,ZCTA5 15563,59851,39.503,14.917,2598,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,162,1086,429,1086
15564,ZCTA5 15564,49375,35.556,40.000,101,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,18,45,16,45
15565,ZCTA5 15565,,63.636,0.000,15,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,0,11,7,11
15601,ZCTA5 15601,75369,50.154,25.822,55670,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,6273,24293,12184,24293
15610,ZCTA5 15610,70397,43.297,14.890,4130,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,271,1820,788,1820
15611,ZCTA5 15611,44083,24.299,24.299,214,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,26,107,26,107
15612,ZCTA5 15612,56842,38.136,21.610,510,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,51,236,90,236
