zip,name,median_income,pct_hh_100k_plus,pct_renters,population,acs_year,dataset,fetched_at_utc,status,error_message,renters_count,occupied_count,hh_count_100k_plus,hh_count_total
10036,ZCTA5 10036,100225,57.784,91.142,30589,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,17213,18886,10913,18886
10037,ZCTA5 10037,51250,37.148,91.063,18333,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,9293,10205,3791,10205
10038,ZCTA5 10038,115121,63.073,71.573,23342,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,7654,10694,6745,10694
10039,ZCTA5 10039,48792,33.934,85.185,30512,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,10586,12427,4217,12427
10040,ZCTA5 10040,64022,44.729,84.557,41581,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,13749,16260,7273,16260
10044,ZCTA5 10044,106146,63.408,79.168,11998,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,4074,5146,3263,5146
10065,ZCTA5 10065,160938,74.099,66.826,31047,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,11164,16706,12379,16706
10069,ZCTA5 10069,226151,74.172,70.800,6669,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2267,3202,2375,3202
10075,ZCTA5 10075,146556,70.381,54.276,23865,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,6804,12536,8823,12536
10103,ZCTA5 10103,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10110,ZCTA5 10110,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10111,ZCTA5 10111,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10112,ZCTA5 10112,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10115,ZCTA5 10115,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10119,ZCTA5 10119,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10128,ZCTA5 10128,148705,73.101,67.749,59000,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,20429,30154,22043,30154
10152,ZCTA5 10152,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10153,ZCTA5 10153,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10154,ZCTA5 10154,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10162,ZCTA5 10162,110349,60.929,100.000,1769,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,883,883,538,883
10165,ZCTA5 10165,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10167,ZCTA5 10167,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10168,ZCTA5 10168,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10169,ZCTA5 10169,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10170,ZCTA5 10170,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10171,ZCTA5 10171,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10172,ZCTA5 10172,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10173,ZCTA5 10173,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10174,ZCTA5 10174,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10177,ZCTA5 10177,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
