store_id,store_name,store_type,G_Rating,G_RevCount,G_LowK,G_LowK_RevCount,G_HighK,G_HighK_RevCount,J_Prior,J_Post,Atlas_Value,Atlas_Yield
AJ,"Arcade Junction",Antique,4.8,67,4.655,67,4.611,67,4.0,"",,
RRAC,"Rcs & Randys Antiques Co-Op",Antique,4.6,124,4.56,124,4.544,124,4.0,"",,
SHTTA,"Solomon's Hidden Treasures Thrift, Antiques & Outlet",Thrift,3.9,33,4.237,33,4.302,33,3.3,"",,
SLTS,"St Luke's Thrift Shop",Thrift,4.3,6,4.443,6,4.45,6,2.0,"",,
RT,"Ron's Treasures",Junk,4.5,51,4.48,51,4.475,51,3.5,"",,
TA,"Trolley Antiques",Antique,4.7,26,4.542,26,4.517,26,2.5,"",,
WSAM,"Whistle Stop Antique Mall",Antique,4.5,138,4.489,138,4.485,138,4.0,"",,
MSA2,"Main Street Antiques",Antique,4.6,26,4.508,26,4.493,26,3.0,"",,
FNJ,"Funk N Junk",Thrift,5.0,26,4.645,26,4.588,26,3.8,"",,
FKTS,"Finders Keepers Thrift Shop",Thrift,4.7,35,4.559,35,4.531,35,4.0,"",,
IAM,"Interstate Antique Mall",Antique,3.2,36,3.933,36,4.081,36,3.8,"",,
TTAT,"Treva's Trinkets and Treasures",Thrift,4.7,37,4.562,37,4.534,37,4.0,"",,
FKOE,"Finders Keepers Of Erie",Thrift,4.6,142,4.564,142,4.548,142,3.6,"",,
CSTAT,"Cobb's Second Time Around Thrift Shop",Thrift,4.2,253,4.243,253,4.265,253,3.8,"",,
GSTS,"Green Scene Thrift Store",Thrift,4.6,87,4.549,87,4.532,87,3.8,"",,
CMT,"City Mission Thrift",Thrift,3.9,30,4.25,30,4.312,30,3.9,"",,
OA,"Oregon Antiques",Antique,4.8,151,4.715,151,4.679,151,3.5,"",,
TSP,"The Sassy Peacock",Boutique,4.3,115,4.349,115,4.367,115,1.0,"",,
PIMAA,"Presque Isle Militaria, Antiques and Collectibles",Surplus,4.8,45,4.621,45,4.579,45,2.8,"",,
SS2,"Secondhand shop",Thrift,3.7,18,4.259,18,4.325,18,1.8,"",,
MTS,"Mel & Tee's Secondhand & Estate Sales",Thrift,4.6,100,4.553,100,4.536,100,3.8,"",,
RCTS,"Rainbow Connection Thrift Store",Thrift,4.1,66,4.255,66,4.301,66,3.4,"",,
V,Vintillage,Antique,4.8,59,4.644,59,4.601,59,4.1,"",,
AIC,"Antiques In Clyde",Antique,4.8,8,4.507,8,4.49,8,3.6,"",,
AVM,"Armory vintage Market",Vintage,4.9,36,4.644,36,4.593,36,4.1,5.0,,
BUKB,"Bearly Used Kids Boutique",Thrift,4.1,24,4.343,24,4.38,24,1.0,"",,
MTA,"M & T Antiques",Antique,3.4,13,4.241,13,4.317,13,3.9,"",,
NTYC,"New-To-You Consignments",Junk,4.6,8,4.479,8,4.472,8,3.7,"",,
PAPE,"Past and present emporium",Thrift,4.6,46,4.527,46,4.51,46,3.9,"",,
CWUTS,"Church Women United Thrift Shop",Thrift,4.5,77,4.484,77,4.479,77,3.3,"",,
MAM,"Maumee Antique Mall",Antique,4.6,"1,626",4.596,"1,626",4.593,"1,626",3.8,"",,
AAI,"Architectural Artifacts Inc.",ArchSalvage,4.4,99,4.42,99,4.428,99,4.1,"",,
HOD,"House of Dow",Vintage,4.6,149,4.565,149,4.55,149,3.9,"",,
TVAT,"The Vault Antiques & Treasures",Antique,4.8,162,4.72,162,4.684,162,4.3,3.5,,
TSL,"That Store LLC",Thrift,5.0,1,4.471,1,4.467,1,1.0,"",,
GFIM,"Great Finds in Maumee",Antique,4.4,114,4.418,114,4.425,114,3.0,"",,
NLRS,"Nine LIves Resale Shop",Thrift,4.3,48,4.382,48,4.402,48,3.7,"",,
TCKA,"The Copper Kettle Antiques",Antique,4.8,98,4.685,98,4.644,98,4.6,3.5,,
CIHI,"Consign It! Home Interiors",Consignment,4.6,328,4.582,328,4.572,328,1.5,"",,
GCHFH,"Greater Cleveland Habitat for Humanity - Amherst ReStore",Thrift,3.5,69,3.903,69,4.026,69,3.5,"",,
ORBA,"Olde Red Barn Antiques & Collectibles",Antique,3.8,21,4.265,21,4.328,21,1.0,"",,
AAM,"Ashtabula Antique Mall",Antique,3.4,72,3.835,72,3.969,72,3.8,"",,
CFAN,"Classic Finds and Nautical",Thrift,5.0,3,4.491,3,4.479,3,4.0,"",,
FSW,"Fat Sally's Warehouse",Antique,4.7,213,4.654,213,4.632,213,4.1,4.2,,
TCS,"The Curiosity Shoppe",Antique,4.1,63,4.259,63,4.305,63,3.9,"",,
JHA,"Jameson Homestead Antiques",Antique,4.4,65,4.426,65,4.434,65,3.0,"",,
CTSAB,"Columbia Thrift Store and boutique",Boutique,5.0,16,4.591,16,4.547,16,3.2,"",,
CTS,"Conneaut Thrift Shop",Thrift,4.7,21,4.531,21,4.508,21,3.7,"",,
BB,"Broadway Boutique",Boutique,4.0,1,4.451,1,4.455,1,0.5,"",,
NTYRS,"New To You Resale Shop",Thrift,4.6,56,4.534,56,4.516,56,3.9,"",,
RE,"Roxy's Emporium",Thrift,4.6,28,4.51,28,4.495,28,0.5,"",,
TBH,"The Bargain House",Furniture,4.9,346,4.844,346,4.815,346,4.0,"",,
BA,"Broadway Antiques",Antique,4.3,25,4.407,25,4.423,25,3.8,"",,
CCC,"Classic Country Consignments",Boutique,4.4,38,4.434,38,4.441,38,1.0,"",,
GT,"Geneva Thrift",Thrift,5.0,6,4.518,6,4.496,6,2.0,"",,
TGD,"The Green Door",Antique,4.4,23,4.441,23,4.447,23,3.9,"",,
TRVM,"The Refindary Vintage Market",Vintage,5.0,20,4.614,20,4.565,20,3.6,"",,
BBAAC,"Be Back Antiques and Collectibles",Antique,4.5,54,4.481,54,4.476,54,2.8,"",,
SAF,"Simply Affordable Finds",Discount,4.8,70,4.658,70,4.615,70,1.0,"",,
VWT-Olmstead,"Value World Thrift",Thrift,4.2,387,4.23,387,4.246,387,4.5,"",,
MSA,"Main Street Antiques",Antique,4.6,114,4.557,114,4.541,114,3.8,"",,
RS,"Ratsy's Store",Boutique,4.9,42,4.661,42,4.607,42,4.1,"",,
SBTL,"Shops By The Lake",Vintage,4.5,525,4.497,525,4.495,525,4.0,5.0,,
PBB,"Perry Bargain Barn",Furniture,4.4,86,4.422,86,4.43,86,2.6,"",,
TATL,"Treasures at the Langshaw",Antique,4.9,10,4.534,10,4.507,10,3.0,"",,
MCVC,"My Cuzin Vintage Cleveland",Sports,4.0,71,4.19,71,4.249,71,0.0,"",,
SL,"Sweet Lorain",Antique,3.7,208,3.847,208,3.918,208,4.9,5.0,,
NTVS,"Nifty Thrifty Variety Shop",Thrift,5.0,15,4.585,15,4.542,15,1.0,"",,
CC,"Cleveland Curiosities",Boutique,4.7,464,4.677,464,4.663,464,1.2,"",,
FNFVC,"Future No Future Vintage Clothing",Vintage,4.7,33,4.556,33,4.528,33,0.0,"",,
MF,"Magically Found",Boutique,5.0,17,4.597,17,4.552,17,1.0,"",,
MC,"Margie’s Closet",Vintage,4.6,45,4.526,45,4.509,45,2.0,"",,
VWT-Lakewood,"Value World Thrift",Thrift,4.2,813,4.215,813,4.224,813,4.5,3.5,,
ATFY,"All Things For You",Antique,4.6,56,4.534,56,4.516,56,3.0,"",,
PG,"Paradise Galleria",Vintage,4.6,94,4.551,94,4.534,94,4.1,"",,
PGCCA,"PEARLS Girls' Community Closet at Malachi Center",Thrift,5.0,20,4.614,20,4.565,20,2.0,"",,
SS,"Spooky's Studio",Vintage,5.0,7,4.527,7,4.502,7,2.0,"",,
VNTG,"VNTG Home",Furniture,4.1,106,4.215,106,4.259,106,2.0,"",,
TSYRS,"The Salvage Yard Resale Shoppe",Thrift,4.7,135,4.635,135,4.608,135,3.6,"",,
RUST,Rusticisle,Furniture,4.8,16,4.543,16,4.515,16,0.1,"",,
STA,"Second Thyme Around",Antique,4.8,139,4.71,139,4.672,139,3.4,"",,
ASVC,"A Signature Vintage Clothing",Vintage,4.7,13,4.51,13,4.493,13,1.5,"",,
AVAT,"Amelia's Vintage and Thrift",Thrift,4.7,72,4.602,72,4.571,72,2.5,"",,
BSS,"Big Ship Salvage",Nautical,4.7,44,4.572,44,4.543,44,5.0,5.0,,
OSW,"Old School Warehouse",ArchSalvage,4.9,18,4.577,18,4.538,18,2.8,"",,
WPF,"When Pigs Fly",Boutique,4.8,98,4.685,98,4.644,98,0.5,"",,
SGBL,"Something Good & Beyond LLC",Thrift,4.7,25,4.54,25,4.515,25,2.1,"",,
TES,"The Encore Shop",Thrift,4.6,39,4.521,39,4.505,39,3.5,"",,
OAAC,"Oscar's Antiques and Consignments",Thrift,4.6,15,4.492,15,4.482,15,2.0,"",,
RI1,"Reclaim It 127",Thrift,5.0,11,4.558,11,4.523,11,3.0,"",,
VWT-Eastpointe,"Value World Thrift",Thrift,3.9,477,3.953,477,3.983,477,4.5,4.2,,
VWT-Southfield,"Value World Thrift",Thrift,4.0,471,4.044,471,4.069,471,4.5,"",,
RWBT,"Red White & Blue Thrift Store",Thrift,3.8,699,3.844,699,3.87,699,4.0,5.0,,
CATTF,"Charlie and the Treasure Factory",Antique,4.9,104,4.757,104,4.704,104,3.2,"",,
MA,"Mimi's Attic",Thrift,4.8,67,4.655,67,4.611,67,3.8,"",,
VGR,"Vintage Garden Resale",Vintage,4.7,16,4.518,16,4.499,16,2.8,"",,
LAFV,"Lost and Found Vintage",Vintage,4.7,114,4.627,114,4.599,114,3.8,"",,
EHUR,"Everything Home Upscale Resale",Furniture,4.1,131,4.2,131,4.24,131,2.0,"",,
TWL,"Time Warp LLC",Antique,4.5,119,4.488,119,4.484,119,4.0,5.0,,
FUFA,"Fred's Unique Furniture & Antiques",Furniture,4.7,251,4.66,251,4.64,251,3.2,"",,
VWT-Warren,"Value World Thrift",Thrift,3.8,473,3.863,473,3.899,473,4.1,3.5,,
TS,"The ShareHouse",Thrift,3.5,481,3.59,481,3.642,481,5.0,5.0,,
VMDV,"V-Male Detroit Vintage",Vintage,4.6,41,4.523,41,4.506,41,4.1,"",,
RIAVA,"Retro Image Antiques, Vintage and Props",Antique,4.7,15,4.516,15,4.497,15,3.8,"",,
FFL,"Fortunate Finds LLC",Antique,4.5,4,4.463,4,4.462,4,1.8,"",,
